NR,Geschlecht,Alter,Nielsen,Bundesland,Arbeitsstatus,Kinder im Haushalt (<18),Haushaltsgröße,Haushaltsnettoeinkommen,Familienstand,Berufs- / Akademische Bildung,Schulbildung,Stadt,Urban (>100k Einw.),PLZ,Land,Platform,Beantwortungsdauer in Sek.,Beantwortungszeit,"1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.",2. Welche dieser Eiskugeln würdest du am ehesten kaufen?,3. Welche dieser Eiskugeln würdest du am ehesten kaufen?,4. Welche dieser Eiskugeln würdest du am ehesten kaufen?,5. Welche dieser Eiskugeln würdest du am ehesten kaufen?,6. Welche dieser Eiskugeln würdest du am ehesten kaufen?,7. Welche dieser Eiskugeln würdest du am ehesten kaufen?,8. Welche dieser Eiskugeln würdest du am ehesten kaufen?,9. Welche dieser Eiskugeln würdest du am ehesten kaufen?,10. Welche dieser Eiskugeln würdest du am ehesten kaufen?,11. Welche dieser Eiskugeln würdest du am ehesten kaufen?,12. Welche dieser Eiskugeln würdest du am ehesten kaufen?,13. Welche dieser Eiskugeln würdest du am ehesten kaufen?,14. Welche dieser Eiskugeln würdest du am ehesten kaufen?,15. Welche dieser Eiskugeln würdest du am ehesten kaufen?,16. Welche dieser Eiskugeln würdest du am ehesten kaufen?,17. Welche dieser Eiskugeln würdest du am ehesten kaufen?,"18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!"
128,f,34,3a,Hessen,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Frankfurt am Main,1,65933,DEU,iOS,162,2021-06-18 14:53:10,-,1A,2C,3C,4C,5C,6A,7A,8B,9C,10B,11C,12C,13B,14C,15B,16A,Hai
129,m,52,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Minden,0,32423,DEU,iOS,106,2021-06-18 14:48:30,-,1A,2B,3A,4C,5B,6A,7C,8A,9C,10B,11C,12C,13B,14C,15B,16B,Hai
130,m,39,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,>5000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Gelsenkirchen,1,45889,DEU,Android,74,2021-06-18 14:50:41,-,1B,2B,3A,4B,5C,6A,7A,8A,9C,10B,11C,12A,13B,14C,15C,16A,Hai
131,f,17,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Hauptschulabschluss,Kirchendemenreuth,0,92665,DEU,iOS,313,2021-06-18 14:57:10,-,1A,2B,3A,4C,5C,6C,7A,8A,9C,10B,11C,12A,13B,14C,15B,16A,Hai
132,m,21,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Hamburg,1,21079,DEU,Android,44,2021-06-18 14:53:07,-,1A,2A,3C,4A,5B,6B,7A,8B,9C,10A,11C,12B,13B,14B,15C,16B,Hai
133,m,17,6,Brandenburg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Frankfurt (Oder),0,15234,DEU,iOS,226,2021-06-18 15:06:49,-,1A,2B,3C,4C,5C,6A,7A,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
134,m,55,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Hauptschulabschluss,Loehne,0,32584,DEU,Android,184,2021-06-18 14:57:13,-,1A,2C,3A,4C,5B,6A,7C,8A,9C,10C,11C,12C,13B,14A,15B,16A,Hai
135,f,38,4,Bayern,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Muenchen,1,81377,DEU,android,114,2021-06-18 14:47:58,-,1A,2B,3C,4C,5A,6A,7A,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
136,f,21,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Springe,0,31832,DEU,android,257,2021-06-18 14:49:44,-,1A,2B,3C,4C,5C,6B,7C,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
137,f,16,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,Mehr als 4 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Emden,0,26723,DEU,iOS,164,2021-06-18 14:47:14,-,1B,2C,3A,4B,5A,6A,7C,8A,9C,10C,11B,12A,13C,14B,15A,16A,Hai
138,m,36,5,Berlin,Sonstige,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Ohne Abschluss,Berlin,1,12059,DEU,Android,140,2021-06-18 14:49:41,-,1C,2B,3A,4C,5B,6B,7C,8A,9B,10A,11C,12C,13B,14C,15B,16B,Hai
139,f,21,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Kraichtal,0,76703,DEU,Android,201,2021-06-18 14:49:21,-,1A,2C,3C,4C,5C,6A,7A,8C,9C,10B,11C,12C,13B,14C,15B,16A,Hai
140,f,16,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,<1000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Duisburg,1,47178,DEU,iOS,225,2021-06-18 14:48:29,-,1A,2B,3C,4C,5C,6C,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
141,m,21,5,Berlin,-,-,-,-,-,-,-,Berlin,1,13353,DEU,iOS,68,2021-06-18 15:01:07,-,1B,2B,3A,4C,5B,6C,7A,8B,9C,10B,11A,12B,13C,14B,15C,16B,Hai
142,m,25,5,Berlin,-,-,-,-,-,-,-,Berlin,1,12109,DEU,iOS,285,2021-06-18 14:57:36,-,1A,2C,3A,4B,5B,6A,7A,8B,9C,10C,11C,12A,13A,14A,15A,16A,Hai
143,m,33,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Langelsheim,0,38685,DEU,iOS,51,2021-06-18 14:45:40,-,1B,2C,3B,4B,5C,6C,7C,8A,9B,10A,11C,12A,13A,14C,15C,16B,Hai
144,m,26,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,Mehr als 4 Personen,4000€ bis 5000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Mannheim,1,68165,DEU,Android,98,2021-06-18 14:46:08,-,1A,2B,3B,4C,5C,6C,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
145,m,26,3a,Hessen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,<1000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Giessen,0,35392,DEU,iOS,190,2021-06-18 14:49:09,-,1A,2B,3B,4C,5A,6A,7B,8B,9B,10B,11A,12C,13A,14A,15B,16A,Hai
146,m,46,5,Berlin,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Berlin,1,12353,DEU,android,86,2021-06-18 14:55:27,-,1A,2C,3B,4C,5A,6B,7C,8C,9B,10B,11A,12C,13A,14A,15B,16A,Hai
147,m,68,6,Mecklenburg-Vorpommern,in Rente,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Hauptschulabschluss,Hammer,0,17358,DEU,iOS,305,2021-06-18 15:01:48,-,1A,2B,3A,4C,5C,6B,7A,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
148,m,25,5,Berlin,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Berlin,1,13347,DEU,iOS,59,2021-06-18 14:48:23,-,1C,2B,3A,4A,5A,6B,7B,8B,9A,10B,11B,12C,13B,14C,15C,16C,Hai
149,m,16,3a,Hessen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,>5000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Wiesbaden,1,65189,DEU,iOS,253,2021-06-18 14:52:50,-,1A,2C,3B,4C,5B,6B,7A,8B,9B,10B,11C,12C,13B,14C,15B,16A,Hai
150,f,31,3a,Hessen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Frankfurt am Main,1,60316,DEU,iOS,397,2021-06-18 15:06:52,-,1C,2B,3A,4C,5A,6A,7B,8B,9A,10B,11A,12C,13C,14B,15A,16C,Hai
151,f,48,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Muenchen,1,80939,DEU,Android,85,2021-06-18 14:47:38,-,1B,2B,3A,4C,5A,6A,7C,8A,9B,10B,11B,12C,13C,14B,15B,16B,Hai
152,m,29,3a,Hessen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Hauptschulabschluss,Kassel,1,34125,DEU,iOS,105,2021-06-18 14:54:31,-,1C,2C,3C,4B,5B,6C,7C,8C,9B,10B,11B,12C,13C,14B,15C,16B,Hai
153,f,30,2,Nordrhein-Westfalen,Sonstige,Keine Kinder (<18) im Haushalt,2 Personen,<1000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Moers,1,47447,DEU,iOS,202,2021-06-18 14:49:29,-,1A,2C,3A,4A,5A,6A,7C,8A,9B,10C,11A,12A,13A,14A,15A,16B,Hai
154,f,27,2,Nordrhein-Westfalen,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Siegen,0,57078,DEU,Android,56,2021-06-18 14:45:36,-,1A,2C,3C,4C,5C,6A,7B,8C,9B,10C,11A,12C,13C,14B,15B,16A,Hai
155,m,16,2,Nordrhein-Westfalen,-,-,-,-,-,-,-,Duesseldorf,1,40231,DEU,iOS,87,2021-06-18 14:47:26,-,1A,2A,3C,4B,5C,6C,7A,8A,9A,10B,11A,12B,13B,14A,15C,16B,Hai
156,f,17,3a,Rheinland-Pfalz,-,-,-,-,-,-,-,Speyer,0,67346,DEU,Android,195,2021-06-18 14:53:14,-,1A,2B,3C,4C,5C,6A,7A,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
157,m,37,3a,Rheinland-Pfalz,-,-,-,-,-,-,-,Binsfeld,0,54518,DEU,Android,249,2021-06-18 14:53:17,-,1A,2C,3A,4C,5C,6A,7A,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
158,f,25,5,Berlin,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Berlin,1,10115,DEU,iOS,63,2021-06-18 14:49:24,-,1A,2C,3C,4A,5A,6A,7A,8A,9C,10B,11C,12C,13C,14A,15A,16B,Hai
159,m,23,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,<1000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Vreden,0,48691,DEU,android,237,2021-06-18 14:52:59,-,1A,2B,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
160,f,20,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Dortmund,1,44135,DEU,iOS,125,2021-06-18 14:51:08,-,1A,2B,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
161,f,29,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Hauptschulabschluss,Gelsenkirchen,1,45889,DEU,Android,84,2021-06-18 14:53:24,-,1C,2A,3C,4C,5A,6B,7C,8A,9C,10A,11A,12C,13A,14C,15B,16A,Hai
162,f,39,5,Berlin,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,3000€ bis 4000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Berlin,1,14165,DEU,android,186,2021-06-18 14:48:25,-,1A,2C,3B,4C,5C,6B,7A,8C,9B,10B,11C,12C,13B,14C,15B,16A,Hai
163,f,28,5,Berlin,Erwerbstätig,Keine Kinder (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Berlin,1,10827,DEU,iOS,117,2021-06-18 14:56:00,-,1B,2A,3C,4C,5A,6C,7A,8B,9C,10A,11A,12A,13B,14A,15B,16C,Hai
164,f,21,1,Niedersachsen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,<1000€,In einer Beziehung,(Noch) kein Abschluss,Hauptschulabschluss,Wilhelmshaven,0,26388,DEU,iOS,161,2021-06-18 14:53:45,-,1A,2B,3B,4C,5C,6B,7C,8A,9B,10B,11A,12C,13B,14C,15B,16A,Hai
165,f,45,7,Sachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,"Goerlitz, Neisse",0,02828,DEU,Android,133,2021-06-18 14:50:01,-,1A,2B,3C,4C,5C,6B,7C,8B,9B,10B,11A,12C,13B,14A,15B,16A,Hai
166,f,21,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Bochum,1,44894,DEU,android,142,2021-06-18 14:48:59,-,1A,2B,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
167,m,31,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,4000€ bis 5000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Duisburg,1,47259,DEU,Android,105,2021-06-18 14:58:28,-,1C,2C,3B,4C,5B,6B,7A,8C,9B,10A,11C,12C,13A,14C,15B,16A,Hai
168,f,32,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Hamburg,1,20457,DEU,Android,163,2021-06-18 14:59:07,-,1A,2B,3C,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16A,Hai
169,f,59,5,Berlin,in Rente,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Berlin,1,10555,DEU,iOS,166,2021-06-18 14:55:19,-,1A,2B,3A,4C,5C,6A,7A,8A,9B,10A,11C,12C,13B,14A,15B,16A,Hai
170,f,56,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Essen,1,45145,DEU,Android,172,2021-06-18 14:55:27,-,1A,2C,3A,4C,5C,6A,7A,8A,9B,10B,11C,12C,13B,14C,15B,16A,Hai
171,f,49,3b,Baden-Wuerttemberg,in Rente,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Huefingen,0,78183,DEU,iOS,199,2021-06-18 14:48:44,-,1C,2B,3A,4C,5B,6B,7C,8C,9B,10B,11A,12C,13A,14A,15B,16B,Hai
172,m,21,7,Thueringen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,<1000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Guenserode,0,06567,DEU,Android,290,2021-06-18 14:59:14,-,1B,2B,3A,4B,5C,6A,7A,8A,9A,10B,11C,12A,13B,14C,15B,16A,Hai
173,f,37,7,Sachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Zwickau,0,08066,DEU,iOS,157,2021-06-18 14:53:33,-,1A,2B,3A,4C,5C,6B,7C,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
174,m,25,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Hamburg,1,21073,DEU,Android,103,2021-06-18 14:46:34,-,1A,2A,3C,4A,5C,6A,7A,8A,9A,10B,11A,12C,13B,14B,15B,16A,Hai
175,m,28,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Hamburg,1,21077,DEU,Android,36,2021-06-18 14:48:38,-,1A,2A,3A,4B,5C,6C,7C,8C,9A,10B,11A,12C,13A,14A,15B,16C,Hai
176,f,36,7,Thueringen,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Gotha,0,99867,DEU,iOS,120,2021-06-18 14:51:57,-,1A,2B,3C,4C,5C,6B,7A,8A,9C,10B,11A,12C,13B,14A,15B,16B,Hai
177,f,47,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Holtland,0,26835,DEU,Android,127,2021-06-18 14:49:34,-,1A,2C,3C,4C,5A,6C,7C,8B,9C,10B,11A,12C,13B,14C,15B,16B,Hai
178,m,19,1,Niedersachsen,Sonstige,Keine Kinder (<18) im Haushalt,3 Personen,2000€ bis 3000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Osterholz,0,27711,DEU,iOS,316,2021-06-18 14:52:36,-,1A,2B,3C,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
179,m,19,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Dollnstein,0,91795,DEU,iOS,183,2021-06-18 14:57:07,-,1C,2C,3B,4A,5B,6A,7B,8C,9C,10B,11B,12B,13A,14A,15C,16A,Hai
180,m,48,1,Niedersachsen,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Ohne Abschluss,Lohne (Oldenburg),0,49393,DEU,Android,149,2021-06-18 15:01:35,-,1A,2C,3B,4C,5C,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
181,f,28,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Stuttgart,1,70376,DEU,iOS,205,2021-06-18 14:51:04,-,1A,2B,3C,4C,5C,6B,7C,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
182,m,34,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Lengerich,0,49525,DEU,iOS,202,2021-06-18 14:49:13,-,1A,2B,3B,4B,5C,6A,7A,8A,9A,10B,11B,12C,13B,14A,15A,16A,Hai
183,m,60,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Koenigsfeld im Schwarzwald,0,78126,DEU,iOS,79,2021-06-18 14:46:43,-,1A,2C,3B,4C,5C,6B,7B,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
184,f,38,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Dinslaken,0,46539,DEU,Android,196,2021-06-18 14:55:44,-,1A,2C,3A,4C,5C,6A,7A,8A,9B,10B,11C,12C,13B,14C,15B,16A,Hai
185,f,20,5,Berlin,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Berlin,1,13125,DEU,iOS,171,2021-06-18 14:47:53,-,1A,2B,3C,4B,5C,6C,7A,8A,9A,10C,11C,12A,13B,14A,15A,16B,Hai
186,f,27,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Koenigheim,0,97953,DEU,Android,114,2021-06-18 14:54:37,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
187,f,23,6,Mecklenburg-Vorpommern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Greifswald,0,17491,DEU,Android,284,2021-06-18 14:55:18,-,1A,2B,3A,4C,5C,6A,7A,8B,9C,10B,11C,12C,13B,14A,15B,16A,Hai
188,f,21,5,Berlin,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Berlin,1,13125,DEU,iOS,185,2021-06-18 14:55:42,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10C,11A,12C,13B,14A,15B,16A,Hai
189,f,36,3a,Hessen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Fritzlar,0,34560,DEU,iOS,116,2021-06-18 14:49:30,-,1A,2C,3C,4C,5A,6A,7A,8B,9C,10B,11C,12C,13B,14C,15B,16B,Hai
190,f,19,3a,Hessen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Frankfurt am Main,1,65936,DEU,iOS,196,2021-06-18 14:49:56,-,1A,2B,3A,4C,5C,6A,7C,8A,9C,10B,11C,12C,13B,14C,15B,16A,Hai
191,f,53,3a,Hessen,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,>5000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Schoeneck,0,61137,DEU,Android,226,2021-06-18 14:49:03,-,1A,2B,3C,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16A,Hai
192,m,54,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Oldenburg (Oldenburg),0,26129,DEU,Android,118,2021-06-18 14:49:10,-,1A,2C,3A,4B,5A,6A,7C,8A,9B,10B,11C,12A,13A,14A,15B,16A,Hai
193,m,49,2,Nordrhein-Westfalen,Sonstige,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Ohne Abschluss,Huerth,0,50354,DEU,Android,115,2021-06-18 14:49:30,-,1B,2B,3A,4B,5C,6A,7A,8A,9B,10B,11C,12A,13B,14C,15C,16A,Hai
194,m,61,6,Sachsen-Anhalt,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Erdeborn,0,06317,DEU,Android,191,2021-06-18 14:57:30,-,1A,2B,3C,4C,5C,6A,7C,8A,9C,10B,11A,12C,13B,14A,15B,16B,Hai
195,f,32,3b,Baden-Wuerttemberg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Ditzingen,0,71254,DEU,Android,161,2021-06-18 14:49:34,-,1A,2B,3C,4C,5C,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
196,f,20,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,4000€ bis 5000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Forchheim,0,91301,DEU,android,145,2021-06-18 14:49:40,-,1A,2C,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
197,f,20,3a,Hessen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,2000€ bis 3000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Echzell,0,61209,DEU,iOS,399,2021-06-18 14:55:07,-,1A,2A,3C,4C,5A,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
198,m,36,3a,Hessen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Frankfurt am Main,1,60313,DEU,iOS,146,2021-06-18 14:57:08,-,1A,2B,3A,4B,5C,6A,7C,8A,9B,10C,11A,12A,13B,14A,15B,16A,Hai
