NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.;2. Welche dieser Eiskugeln würdest du am ehesten kaufen?;3. Welche dieser Eiskugeln würdest du am ehesten kaufen?;4. Welche dieser Eiskugeln würdest du am ehesten kaufen?;5. Welche dieser Eiskugeln würdest du am ehesten kaufen?;6. Welche dieser Eiskugeln würdest du am ehesten kaufen?;7. Welche dieser Eiskugeln würdest du am ehesten kaufen?;8. Welche dieser Eiskugeln würdest du am ehesten kaufen?;9. Welche dieser Eiskugeln würdest du am ehesten kaufen?;10. Welche dieser Eiskugeln würdest du am ehesten kaufen?;11. Welche dieser Eiskugeln würdest du am ehesten kaufen?;12. Welche dieser Eiskugeln würdest du am ehesten kaufen?;13. Welche dieser Eiskugeln würdest du am ehesten kaufen?;14. Welche dieser Eiskugeln würdest du am ehesten kaufen?;15. Welche dieser Eiskugeln würdest du am ehesten kaufen?;16. Welche dieser Eiskugeln würdest du am ehesten kaufen?;17. Welche dieser Eiskugeln würdest du am ehesten kaufen?;18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!
69;f;26;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;20095;DEU;Android;174;2021-06-18 14:47:59;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
70;m;23;4;Bayern;;;;;;;;Muenchen;x;80333;DEU;iOS;139;2021-06-18 14:58:32;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10A;11C;12C;13B;14A;15B;16A;Hai
71;f;47;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Nettetal;-;41334;DEU;Android;323;2021-06-18 14:50:59;-;1A;2B;3C;4A;5C;6C;7A;8C;9A;10A;11A;12B;13B;14B;15C;16A;Hai
72;f;27;1;Schleswig-Holstein;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Pinneberg;-;25421;DEU;iOS;257;2021-06-18 14:53:38;-;1A;2A;3A;4C;5A;6A;7C;8C;9B;10B;11A;12C;13A;14B;15B;16A;Hai
73;m;51;6;Brandenburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Eisenhuettenstadt;-;15890;DEU;iOS;66;2021-06-18 14:55:57;-;1A;2C;3A;4B;5B;6B;7C;8C;9C;10B;11C;12A;13A;14A;15C;16B;Hai
74;m;32;1;Niedersachsen;Sonstige;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Stadthagen;-;31655;DEU;Android;352;2021-06-18 14:51:48;-;1A;2B;3C;4C;5C;6A;7C;8A;9C;10B;11A;12C;13B;14A;15B;16B;Hai
75;f;20;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Echzell;-;61209;DEU;iOS;399;2021-06-18 14:55:07;-;1A;2A;3C;4C;5A;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
76;f;22;1;Hamburg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Hamburg;x;20095;DEU;iOS;177;2021-06-18 14:49:54;-;1A;2C;3C;4C;5A;6A;7B;8B;9C;10B;11A;12C;13A;14B;15B;16B;Hai
77;m;46;5;Berlin;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Berlin;x;12353;DEU;android;86;2021-06-18 14:55:27;-;1A;2C;3B;4C;5A;6B;7C;8C;9B;10B;11A;12C;13A;14A;15B;16A;Hai
78;m;29;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Hauptschulabschluss;Kassel;x;34125;DEU;iOS;105;2021-06-18 14:54:31;-;1C;2C;3C;4B;5B;6C;7C;8C;9B;10B;11B;12C;13C;14B;15C;16B;Hai
79;f;24;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Heilsbronn;-;91560;DEU;iOS;188;2021-06-18 14:47:29;-;1A;2B;3A;4B;5C;6A;7A;8A;9C;10B;11C;12A;13B;14A;15B;16A;Hai
80;m;19;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Bad Kreuznach;-;55543;DEU;android;228;2021-06-18 15:01:49;-;1A;2C;3C;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14C;15B;16B;Hai
81;m;28;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;Duisburg;x;47137;DEU;iOS;92;2021-06-18 14:56:20;-;1A;2B;3C;4C;5C;6A;7A;8B;9C;10B;11C;12C;13B;14C;15C;16B;Hai
82;f;21;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;13125;DEU;iOS;185;2021-06-18 14:55:42;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10C;11A;12C;13B;14A;15B;16A;Hai
83;f;30;4;Bayern;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Augsburg;x;86154;DEU;iOS;136;2021-06-18 14:50:04;-;1A;2B;3A;4C;5C;6A;7C;8A;9B;10B;11B;12A;13C;14C;15C;16B;Hai
84;f;16;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Emden;-;26723;DEU;iOS;164;2021-06-18 14:47:14;-;1B;2C;3A;4B;5A;6A;7C;8A;9C;10C;11B;12A;13C;14B;15A;16A;Hai
85;m;17;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Guetersloh;-;33335;DEU;Android;202;2021-06-18 14:51:01;-;1A;2B;3A;4C;5C;6A;7A;8A;9B;10B;11C;12C;13B;14C;15B;16A;Hai
86;f;59;5;Berlin;in Rente;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Berlin;x;10555;DEU;iOS;166;2021-06-18 14:55:19;-;1A;2B;3A;4C;5C;6A;7A;8A;9B;10A;11C;12C;13B;14A;15B;16A;Hai
87;m;34;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Waltrop;-;45731;DEU;Android;145;2021-06-18 14:48:19;-;1A;2A;3C;4C;5C;6B;7C;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
88;f;57;3a;Rheinland-Pfalz;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Altenkirchen;-;57610;DEU;iOS;2634;2021-06-18 15:33:00;-;1C;2B;3B;4C;5C;6A;7A;8A;9C;10B;11C;12C;13A;14A;15B;16A;Hai
89;f;36;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Fritzlar;-;34560;DEU;iOS;116;2021-06-18 14:49:30;-;1A;2C;3C;4C;5A;6A;7A;8B;9C;10B;11C;12C;13B;14C;15B;16B;Hai
90;f;34;6;Brandenburg;Sonstige;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;No degree;Cottbus;-;03044;DEU;iOS;224;2021-06-18 14:48:52;-;1A;2B;3C;4C;5C;6B;7A;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
91;m;16;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;No degree;Ludwigshafen am Rhein;x;67071;DEU;iOS;82;2021-06-18 14:47:02;-;1B;2A;3A;4B;5C;6A;7C;8C;9B;10B;11B;12B;13B;14A;15A;16A;Hai
92;m;27;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Hameln;-;31785;DEU;android;128;2021-06-18 14:48:59;-;1A;2C;3B;4C;5A;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
93;m;51;7;Sachsen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Schkeuditz;-;04435;DEU;android;123;2021-06-18 14:57:07;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
94;f;17;6;Mecklenburg-Vorpommern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Rostock;x;18055;DEU;iOS;119;2021-06-18 14:47:21;-;1A;2C;3B;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16A;Hai
95;m;31;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Wuerselen;-;52146;DEU;Android;130;2021-06-18 14:49:02;-;1B;2C;3C;4B;5A;6B;7B;8B;9C;10A;11A;12C;13C;14B;15B;16C;Hai
96;f;49;3b;Baden-Wuerttemberg;in Rente;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Huefingen;-;78183;DEU;iOS;199;2021-06-18 14:48:44;-;1C;2B;3A;4C;5B;6B;7C;8C;9B;10B;11A;12C;13A;14A;15B;16B;Hai
97;f;31;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Vlotho;-;32602;DEU;Android;165;2021-06-18 14:47:30;-;1A;2B;3B;4C;5C;6A;7A;8C;9A;10C;11A;12C;13B;14A;15B;16B;Hai
98;m;22;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Hamburg;x;22047;DEU;iOS;163;2021-06-18 14:56:13;-;1A;2C;3C;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16B;Hai
99;f;30;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Luebeck;x;23556;DEU;Android;135;2021-06-18 14:54:34;-;1A;2B;3C;4C;5A;6A;7C;8B;9C;10B;11A;12C;13B;14C;15B;16B;Hai
100;m;30;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Wolfsburg;x;38448;DEU;Android;131;2021-06-18 14:50:26;-;1B;2B;3A;4B;5B;6A;7A;8A;9A;10B;11C;12A;13B;14C;15C;16A;Hai
101;m;61;6;Sachsen-Anhalt;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Erdeborn;-;06317;DEU;Android;191;2021-06-18 14:57:30;-;1A;2B;3C;4C;5C;6A;7C;8A;9C;10B;11A;12C;13B;14A;15B;16B;Hai
102;m;31;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Duisburg;x;47259;DEU;Android;105;2021-06-18 14:58:28;-;1C;2C;3B;4C;5B;6B;7A;8C;9B;10A;11C;12C;13A;14C;15B;16A;Hai
103;m;57;5;Berlin;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;10999;DEU;Android;232;2021-06-18 14:57:33;-;1A;2B;3B;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
104;f;17;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Oberstaufen;-;87534;DEU;Android;195;2021-06-18 14:49:18;-;1A;2C;3B;4C;5A;6A;7A;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
105;m;24;2;Nordrhein-Westfalen;in Rente;Keine Kinder (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Luedenscheid;-;58509;DEU;iOS;94;2021-06-18 14:53:50;-;1A;2B;3C;4A;5A;6A;7B;8B;9C;10B;11B;12C;13B;14A;15B;16A;Hai
106;m;18;6;Brandenburg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Schoeneiche bei Berlin;-;15566;DEU;iOS;117;2021-06-18 15:01:45;-;1B;2B;3C;4C;5A;6B;7C;8B;9B;10A;11C;12C;13A;14B;15C;16A;Hai
107;f;49;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Wolfsburg;x;38440;DEU;android;111;2021-06-18 14:49:49;-;1A;2B;3A;4C;5C;6B;7C;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
108;f;19;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Frankfurt am Main;x;65936;DEU;iOS;196;2021-06-18 14:49:56;-;1A;2B;3A;4C;5C;6A;7C;8A;9C;10B;11C;12C;13B;14C;15B;16A;Hai
109;m;23;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Rossau bei Mittweida;-;09661;DEU;iOS;64;2021-06-18 14:48:48;-;1A;2C;3C;4C;5C;6C;7B;8A;9B;10B;11A;12C;13A;14B;15B;16B;Hai
110;f;40;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Rietberg;-;33397;DEU;Android;157;2021-06-18 14:51:14;-;1A;2B;3A;4C;5C;6B;7C;8B;9B;10B;11C;12C;13B;14C;15B;16B;Hai
111;f;22;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Diespeck;-;91456;DEU;iOS;135;2021-06-18 14:50:58;-;1A;2C;3A;4B;5A;6A;7C;8A;9C;10B;11C;12A;13A;14A;15B;16B;Hai
112;m;17;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Single / Ledig;(Noch) kein Abschluss;No degree;Stegen;-;79252;DEU;Android;158;2021-06-18 14:47:12;-;1A;2C;3C;4C;5A;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
113;m;18;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Hanau;-;63450;DEU;android;163;2021-06-18 14:57:29;-;1C;2A;3B;4C;5C;6A;7B;8C;9B;10B;11C;12C;13A;14A;15B;16A;Hai
114;f;23;6;Mecklenburg-Vorpommern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Greifswald;-;17491;DEU;Android;284;2021-06-18 14:55:18;-;1A;2B;3A;4C;5C;6A;7A;8B;9C;10B;11C;12C;13B;14A;15B;16A;Hai
115;m;36;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Langweid am Lech;-;86462;DEU;Android;65;2021-06-18 15:48:19;-;1B;2A;3B;4A;5B;6B;7B;8A;9C;10A;11C;12B;13A;14A;15B;16C;Hai
116;f;60;7;Sachsen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Dresden;-;01169;DEU;iOS;246;2021-06-18 14:53:38;-;1C;2B;3A;4C;5C;6C;7A;8A;9C;10B;11C;12C;13B;14C;15B;16B;Hai
117;f;47;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Greiz;-;07589;DEU;iOS;111;2021-06-18 14:46:20;-;1B;2B;3A;4C;5C;6A;7A;8A;9C;10C;11C;12C;13B;14A;15C;16B;Hai
118;f;29;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Hauptschulabschluss;Gelsenkirchen;x;45889;DEU;Android;84;2021-06-18 14:53:24;-;1C;2A;3C;4C;5A;6B;7C;8A;9C;10A;11A;12C;13A;14C;15B;16A;Hai
119;f;48;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Muenchen;x;80939;DEU;Android;85;2021-06-18 14:47:38;-;1B;2B;3A;4C;5A;6A;7C;8A;9B;10B;11B;12C;13C;14B;15B;16B;Hai
120;m;32;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Pulheim;-;50259;DEU;iOS;121;2021-06-18 14:53:55;-;1A;2A;3B;4C;5C;6C;7A;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
121;f;32;1;Hamburg;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;22159;DEU;Android;106;2021-06-18 14:50:13;-;1A;2C;3B;4A;5B;6B;7B;8C;9A;10C;11B;12B;13C;14C;15C;16A;Hai
122;f;57;1;Bremen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Bremen;x;28755;DEU;Android;128;2021-06-18 14:48:50;-;1A;2C;3C;4C;5C;6A;7A;8A;9C;10B;11A;12C;13B;14A;15B;16B;Hai
123;m;27;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;12163;DEU;iOS;127;2021-06-18 15:01:38;-;1A;2B;3B;4C;5A;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
124;m;36;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Eppendorf, Sachsen;-;09575;DEU;Android;154;2021-06-18 14:50:04;-;1A;2B;3C;4C;5A;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
125;m;21;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Hamburg;x;21079;DEU;Android;44;2021-06-18 14:53:07;-;1A;2A;3C;4A;5B;6B;7A;8B;9C;10A;11C;12B;13B;14B;15C;16B;Hai
126;m;16;2;Nordrhein-Westfalen;;;;;;;;Duesseldorf;x;40231;DEU;iOS;87;2021-06-18 14:47:26;-;1A;2A;3C;4B;5C;6C;7A;8A;9A;10B;11A;12B;13B;14A;15C;16B;Hai
127;f;20;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Forchheim;-;91301;DEU;android;145;2021-06-18 14:49:40;-;1A;2C;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
128;m;18;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;4000€ bis 5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Dortmund;x;44328;DEU;iOS;105;2021-06-18 14:49:23;-;1C;2B;3B;4C;5C;6B;7C;8C;9C;10A;11C;12C;13A;14B;15C;16C;Hai
129;m;35;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Koeln;x;51143;DEU;iOS;390;2021-06-18 15:01:53;-;1B;2B;3A;4B;5C;6A;7A;8A;9B;10B;11C;12A;13B;14C;15C;16A;Hai
130;f;27;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Siegen;-;57078;DEU;Android;56;2021-06-18 14:45:36;-;1A;2C;3C;4C;5C;6A;7B;8C;9B;10C;11A;12C;13C;14B;15B;16A;Hai
131;f;32;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;20457;DEU;Android;163;2021-06-18 14:59:07;-;1A;2B;3C;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16A;Hai
132;f;27;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Tuebingen;-;72074;DEU;Android;161;2021-06-18 14:47:14;-;1A;2C;3B;4C;5C;6A;7A;8C;9C;10B;11C;12C;13B;14A;15B;16A;Hai
133;m;26;7;Thueringen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Ruhla;-;99842;DEU;Android;157;2021-06-18 14:57:37;-;1A;2C;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
134;m;16;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Wiesbaden;x;65189;DEU;iOS;253;2021-06-18 14:52:50;-;1A;2C;3B;4C;5B;6B;7A;8B;9B;10B;11C;12C;13B;14C;15B;16A;Hai
135;m;56;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Offenbach;-;63069;DEU;Android;87;2021-06-18 14:57:36;-;1A;2A;3A;4C;5A;6B;7C;8C;9B;10B;11A;12C;13A;14B;15B;16A;Hai
136;m;60;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Koenigsfeld im Schwarzwald;-;78126;DEU;iOS;79;2021-06-18 14:46:43;-;1A;2C;3B;4C;5C;6B;7B;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
137;m;19;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Dollnstein;-;91795;DEU;iOS;183;2021-06-18 14:57:07;-;1C;2C;3B;4A;5B;6A;7B;8C;9C;10B;11B;12B;13A;14A;15C;16A;Hai
